LIA Wien;LIA;LIA@nomail.com
Donau Wien;DOW;DOW@nomail.com
Donaubund;DBU;DBU@nomail.com
ISTER Linz;IST;IST@nomail.com
Ruder Gesellschaft Grünau Germany;RGG;RGG@nomail.com
Ellida Wien;ELL;ELL@nomail.com
Tullner Ruderverein;TUL;TUL@nomail.com
Pirat Wien;PIR;PIR@nomail.com
Mondsee;MON;MON@nomail.com
Argonauten Wien;ARG;ARG@nomail.com
Győri Atlétikai Club-Evezős Szakosztály Hungaria;GYAC;GYAC@nomail.com
Ruderunion Melk;RUM;RUM@nomail.com
VK Zagreb Croatia;VKZ;VKZ@nomail.com
VVF Ravalico Triest Italy;VVF;VVF@nomail.com
Friesen Wien;FRI;FRI@nomail.com
Galway Rowing Club Irland;GRC;GRC@nomail.com
Steiner Ruder Club;STE;STE@nomail.com
Donauhort;DHO;DHO@nomail.com
Ausdauersportclub Armada;ASC;ASC@nomail.com
Alemannia Korneuburg;ALE;ALE@nomail.com
Eisenbahn Sportverein Schmöckwitz Germany;ESV;ESV@nomail.com
SC Berlin Köpenick Germany;SCBK;SCBK@nomail.com
Österr. Sportunion Wallsee;WAL;WAL@nomail.com
RV Prien am Chiemsee, Germany;RVP;RVP@nomail.com
Without Club;NN;NN@nomail.com
OEA-NAB Greece;OEA;OEA@nomail.com
VK Velenje Sovenia;VKV;VKV@nomail.com
CVK Brno Slovakia;CVK;CVK@nomail.com
RGM 72 München Germany;M72;M72@nomail.com
Austrian Police Sport Team;APST;APST@nomail.com
Move Salzburg;MÖV;MÖV@nomail.com
